filename,width,height,class,xmin,ymin,xmax,ymax
36707717_1518004334977987_1581965244006137856_o.jpg,1446,1016,license_plate,279,471,512,524
18423824_1137069819738109_3774833653632400601_n.jpg,747,667,license_plate,105,176,139,184
18423824_1137069819738109_3774833653632400601_n.jpg,747,667,license_plate,268,417,414,450
19905212_1187728621338895_53776926434765690_n.jpg,512,413,license_plate,305,201,393,226
45288269_1678506472261105_7898890619114749952_o.jpg,2048,1367,license_plate,819,644,1298,761
48257034_1730278820417203_2767411105721483264_o.jpg,2032,1406,license_plate,293,785,510,858
70949579_2153954341382980_1964921884080340992_n.jpg,780,518,license_plate,400,389,516,417
15304115_999436340168125_9151435252877633524_o.jpg,2048,1434,license_plate,689,1226,1176,1309
12697134_790239441087817_7662050818719216830_o.jpg,982,570,license_plate,191,346,355,402
30073073_1439528199492268_3979891188282064125_o.jpg,1612,1172,license_plate,630,667,907,916
48232935_1729137157198036_4480245948856926208_o.jpg,2048,1437,license_plate,1172,937,1643,1095
10497117_533153860129711_5564467095982047873_o.jpg,1200,800,license_plate,475,600,749,664
10620667_587865947991835_6193489626143162449_n.jpg,960,539,license_plate,633,306,704,322
1531874_458541727590925_758578619_o.jpg,1224,918,license_plate,486,411,637,449
11540936_706697842775311_1056020183579970429_n.jpg,528,960,license_plate,188,416,295,446
40555393_1603779569733796_2602594243998384128_o.jpg,2937,1427,license_plate,2427,728,2637,837
12512610_779471905497904_5515210448534129366_n.jpg,538,578,license_plate,197,376,310,412
1662147_468672176577880_1045938781_n.jpg,960,640,license_plate,428,309,457,326
61318213_1962280563883693_3004090295089364992_o.jpg,2048,1146,license_plate,285,516,528,585
1939578_585933438185086_5106475385039111731_n.jpg,960,540,license_plate,772,229,796,250
18768452_1151636774948080_6199286321336440978_o.jpg,2048,1613,license_plate,949,1031,1400,1203
74445673_2210394909072256_2572305348647976960_o.jpg,1080,972,license_plate,501,598,667,654
12342795_767426363369125_251295556105320979_n.jpg,510,445,license_plate,118,271,226,297
69485971_2107331456045269_2398218152203780096_n.jpg,678,612,license_plate,647,297,678,313
69485971_2107331456045269_2398218152203780096_n.jpg,678,612,license_plate,364,312,461,336
69485971_2107331456045269_2398218152203780096_n.jpg,678,612,license_plate,1,378,114,414
17760881_1100044676773957_616265695936390895_o.jpg,964,816,license_plate,412,513,600,550
48397353_1749694475142304_8748075266363883520_o.jpg,1280,960,license_plate,104,500,245,543
15895843_1024049824373443_446587280782865805_o.jpg,2048,1536,license_plate,572,900,845,1008
28828832_1410368502408238_416884270906182899_o.jpg,992,717,license_plate,167,456,289,492
82092019_2381710565274022_8283672817858248704_o.jpg,1534,1334,license_plate,675,530,1035,604
10359125_638991942879235_4535122632229970487_o.jpg,1536,2048,license_plate,852,1281,1123,1348
11111230_690921971019565_515314653646803629_o.jpg,1536,2048,license_plate,590,1228,895,1302
13083366_834882473290180_7565698559381865551_n.jpg,800,600,license_plate,397,339,494,361
14022237_905326016245825_2989403551653886467_n.jpg,420,366,license_plate,134,239,207,268
66165287_2028810383897377_7159915519875743744_n.jpg,698,504,license_plate,384,345,506,389
51672194_1804079219703829_8028971516219621376_o.jpg,980,690,license_plate,177,503,338,591
18446562_1136319743146450_7683151586222818049_n.jpg,960,576,license_plate,142,420,271,475
13087303_837575089687585_3741344282682601997_n.jpg,720,537,license_plate,180,319,342,349
31945721_1450472081731213_7375181282206023680_o.jpg,1086,971,license_plate,589,588,722,617
35422414_1489598144485273_7541405523107643392_n.jpg,712,564,license_plate,247,350,468,408
12246951_757566261021802_3670125680992764004_n.png,600,399,license_plate,287,305,375,364
56623236_1884472911664459_1514661946836647936_o.jpg,1754,1285,license_plate,517,512,901,600
22384218_1263699690408454_7651747590192245222_o.jpg,960,1280,license_plate,88,918,255,1018
67743142_2069987529779662_2554136335610806272_o.jpg,2045,2048,license_plate,727,1002,1147,1157
11745624_711552765623152_3375663493635908418_n.jpg,960,720,license_plate,135,235,235,274
19621210_1182485911863166_3869902887617277814_o.jpg,1552,1543,license_plate,514,939,985,1041
59569903_1924589714319445_5433765582337998848_o.jpg,1936,1710,license_plate,941,1212,1274,1299
12832336_805587589553002_3094304082782690979_n.jpg,960,960,license_plate,185,530,325,595
38286842_1558965070881913_1128834615046307840_n.jpg,392,266,license_plate,280,140,322,155
66305094_2024812704297145_6058437458503139328_n.jpg,542,407,license_plate,205,199,314,224
11118988_677368769041552_7985299167048179466_n.jpg,960,720,license_plate,515,532,571,544
77376547_2310971609014585_2982311551018467328_n.jpg,912,630,license_plate,582,492,747,539
73482614_2195989220512825_8880967661945618432_n.jpg,885,707,license_plate,471,462,625,492
10298602_651448338300262_4970507515272760371_o.jpg,1536,2048,license_plate,770,1346,1205,1514
87734572_2484212358357175_3051954136485462016_n.jpg,890,877,license_plate,355,524,608,584
11162035_674472179331211_8371512076208223825_o.jpg,2000,1500,license_plate,802,778,1181,863
28161685_1376136242498131_8916327610615005627_o.jpg,1812,1811,license_plate,824,782,1256,911
83176126_2409978245780587_3763467992222924800_o.jpg,969,936,license_plate,380,487,563,534
53165170_1840873889357695_7909232131564371968_o.jpg,1482,1624,license_plate,651,1364,1032,1461
21587424_1243743752404048_9102315662737492199_o.jpg,1706,1280,license_plate,505,692,718,743
13392195_859465637498530_8733621575173382151_o.jpg,1158,677,license_plate,829,393,887,412
51556228_1801593923285692_1391703312394354688_n.jpg,828,770,license_plate,332,507,530,547
48170493_1728008353977583_1045370842000654336_o.jpg,2048,1807,license_plate,923,1225,1488,1404
32451636_1458270444284710_709078931403177984_n.jpg,624,653,license_plate,281,437,382,463
21034567_1226054494172974_8252884380965699894_n.jpg,960,720,license_plate,247,521,439,597
15994867_1028369213941504_2975452856906457582_o.jpg,2048,1577,license_plate,1135,956,1458,1045
26814838_1347271685384587_3444296915377509389_n.jpg,943,740,license_plate,379,361,621,415
52887326_1834609733317444_3356848178291802112_o.jpg,1280,969,license_plate,444,519,846,598
59737964_1928914663886950_3991145875031195648_o.jpg,2048,1267,license_plate,688,750,1369,895
37597173_1541400705971683_9211084006571900928_o.jpg,1314,628,license_plate,859,328,1083,378
67209174_2055178267927255_8056861169824038912_o.jpg,1440,1184,license_plate,531,676,714,769
70000846_2143522815759466_7616843621479743488_n.jpg,779,668,license_plate,207,300,364,335
22713443_1273397609438662_2864787636887262984_o.jpg,1180,866,license_plate,207,527,378,572
38646135_1565278043583949_3165096099186737152_o.jpg,1438,1066,license_plate,597,550,885,614
1558596_459403550838076_1977293459_n.jpg,960,720,license_plate,129,472,294,544
66384076_2029773377134411_101569091717824512_o.jpg,1011,847,license_plate,480,328,705,385
13558631_870353649743062_1546313726609261842_o.jpg,2048,1160,license_plate,1308,694,1508,805
13412005_863049530473474_278811014636100725_o.jpg,1735,2048,license_plate,503,1429,988,1546
35114044_1485044364940651_1619876005499895808_o.jpg,1920,1080,license_plate,596,768,1045,856
78257301_2284163098362103_3353532377639944192_n.jpg,748,605,license_plate,400,414,572,470
21105602_1227561424022281_5210578385450487905_n.jpg,720,645,license_plate,308,423,468,463
13886896_887167528061674_1981386621733713088_n.jpg,960,751,license_plate,195,533,428,659
23000243_1280356482076108_6014036109430130885_o.jpg,2048,1152,license_plate,386,634,649,710
70257859_2152944134817334_215543264462241792_n.jpg,800,834,license_plate,282,638,648,709
50408626_1783100908468327_7417294445860618240_o.jpg,2048,1616,license_plate,1384,1145,1796,1405
12651258_789229511188810_4142892023167464283_n.jpg,750,802,license_plate,596,729,657,759
12496105_810097569102004_8024143806766870616_o.jpg,2048,1360,license_plate,951,706,1188,754
13123329_841029432675484_7724296581862209475_o.jpg,1327,1103,license_plate,509,377,570,399
13123329_841029432675484_7724296581862209475_o.jpg,1327,1103,license_plate,907,506,948,545
13123329_841029432675484_7724296581862209475_o.jpg,1327,1103,license_plate,159,685,224,751
12650811_789828154462279_954160583221372280_n.jpg,960,540,license_plate,540,252,623,273
31944679_1450676088377479_6161641262018461696_o.jpg,1367,910,license_plate,727,436,982,515
14468368_937374416374318_7694383188915383688_o.jpg,1200,800,license_plate,330,584,382,601
14468368_937374416374318_7694383188915383688_o.jpg,1200,800,license_plate,469,623,582,667
1532026_455407771237654_250111003_o.jpg,1772,1181,license_plate,715,802,1058,895
69766197_2185966611515086_7524368745054076928_o.jpg,1138,1138,license_plate,349,619,593,678
10299025_538418702936560_3605657480471379872_n.jpg,800,533,license_plate,612,339,656,357
14883535_956158831162543_7201040300266049699_o.jpg,2048,1328,license_plate,1098,760,1387,837
1498125_454921617952936_1543089981_o.jpg,2048,1365,license_plate,973,924,1129,959
72926622_2229003383878075_4168529527594549248_o.jpg,1288,958,license_plate,659,656,896,711
13083144_836039203174507_2879229934528470128_n.jpg,873,474,license_plate,400,271,492,288
38204152_1557372244374529_5852669427937443840_o.jpg,2016,1539,license_plate,971,765,1377,846
19989338_1188378097940614_940365373600003709_n.jpg,566,413,license_plate,161,199,225,213
10155094_700372956741133_7069081743790200486_n.jpg,960,720,license_plate,880,293,891,295
